id,id_factura,servicio,precio,realizado
1,1,Lavada de motor,30000.0,True
2,1,Polarizado,200000.0,True
3,2,Lavada Sencilla,33000.0,False
4,2,PPF,100000.0,True
5,2,Restauración de mofle negro,80000.0,True
6,3,Lavada Completa,43000.0,True
7,3,Restauración de mofle cromada,120000.0,True
8,4,Restauración de mofle cromada,120000.0,True
9,5,PPF,100000.0,True
10,5,Restauración de mofle negro,80000.0,True
11,6,Lavada Completa,33000.0,True
12,6,Restauración de mofle cromada,120000.0,True
13,7,Lavada Completa,47000.0,True
14,7,PPF,200000.0,False
15,7,Recubrimiento ceramico,300000.0,False
16,7,Restauración de mofle cromada,120000.0,False
17,7,Restauración de mofle negro,80000.0,False
18,8,Lavada Sencilla,33000.0,True
19,8,Restauración de mofle cromada,120000.0,True
20,9,Lavada Completa,43000.0,True
21,9,Polichada,80000.0,True
22,10,Lavada FULL,45000.0,True
23,10,Mantenimiento aire acondicionado,100000.0,True
24,10,Polarizado,200000.0,True
25,11,Lavada Sencilla,33000.0,False
26,11,Polichada,80000.0,False
27,11,PPF,3000.0,True
28,11,Brillo Headers,350000.0,True
29,12,Lavada Sencilla,33000.0,True
30,12,Restauración de mofle cromada,120000.0,True
31,12,PPF,40000.0,True
32,13,Lavada Sencilla,35000.0,True
33,13,Vinilos decorativos,400000.0,True
34,13,Polichada,60000.0,True
35,13,PPF,120000.0,True
36,13,Brillo Headers,100000.0,True
37,13,Lavada de Cojinería,180000.0,True
38,14,Lavada Completa,45000,True
39,14,Lavada de motor,35000,True
40,14,Mantenimiento aire acondicionado,100000,True
